"date","total_ntl","total_pixels","weighted_ntl_mean","prev_weighted_ntl_mean"
2012-01-01,NA,3650,4.52245888323,NA
2012-03-01,9.50665121067752,3853,4.95239327540498,4.52245888323
2012-05-01,-3.79401512000885,3868,4.76449872573381,4.95239327540498
2012-07-01,1.87717913675227,3868,4.85393690178411,4.76449872573381
2012-09-01,9.77447335031819,3868,5.32838367069026,4.85393690178411
2012-11-01,-24.6125389008896,3434,4.01693316695297,5.32838367069026
2013-01-01,-13.9387462807137,3862,3.45702304454556,4.01693316695297
2013-03-01,78.6310320614965,3861,6.1753159430755,3.45702304454556
2013-05-01,-5.98374617898833,3865,5.80580071129127,6.1753159430755
2013-07-01,2.81294775743925,3825,5.96911485220093,5.80580071129127
2013-09-01,-12.0691683449095,3868,5.2486923319878,5.96911485220093
2013-11-01,-3.45007913789857,3849,5.06760829282941,5.2486923319878
2014-01-01,0.683401263784667,3868,5.10224039194626,5.06760829282941
2014-03-01,9.59923413670865,3855,5.5920163933869,5.10224039194626
2014-05-01,-1.86405831597564,3864,5.48777794677525,5.5920163933869
2014-07-01,-4.19491219267253,3868,5.25757048057918,5.48777794677525
2014-09-01,-0.686213601812634,3868,5.22149231681656,5.25757048057918
2014-11-01,-6.26761629589315,3865,4.89422921347896,5.22149231681656
2015-01-01,-13.7655460293613,3860,4.22051183831506,4.89422921347896
2015-03-01,19.463324427334,3865,5.04196374990036,4.22051183831506
2015-05-01,4.15322959925386,3859,5.25136808074488,5.04196374990036
2015-07-01,0.942035045607643,3856,5.30083780843935,5.25136808074488
2015-09-01,-15.8080471046124,3868,4.46287887074215,5.30083780843935
2015-11-01,8.3946569300228,3868,4.83752224114343,4.46287887074215
2016-01-01,-10.9773538485107,3868,4.30649030723271,4.83752224114343
2016-03-01,31.3680039340103,3862,5.65735035622324,4.30649030723271
2016-05-01,-18.2271293624979,3868,4.62617778830469,5.65735035622324
2016-07-01,-2.52566858403688,3864,4.50933586926379,4.62617778830469
2016-09-01,-1.93043897070368,3868,4.4222858923236,4.50933586926379
2016-11-01,-15.3007975484012,3864,3.74564088092766,4.4222858923236
2017-01-01,38.2849433557138,3868,5.17965737049927,3.74564088092766
2017-03-01,1.47915327855817,3865,5.25627244231309,5.17965737049927
2017-05-01,-1.55809210560045,3866,5.17437487634056,5.25627244231309
2017-07-01,4.37690270329999,3868,5.40085223018199,5.17437487634056
2017-09-01,-18.634563669638,3868,4.39442698264566,5.40085223018199
2017-11-01,-12.3693354301843,3825,3.85086556892769,4.39442698264566
2018-01-01,17.8509040033447,3863,4.53827988493483,3.85086556892769
2018-03-01,26.3006924954015,3868,5.7318789220522,4.53827988493483
2018-05-01,-5.60453548779391,3868,5.4106337337484,5.7318789220522
2018-07-01,1.18771202846899,3868,5.47489648142053,5.4106337337484
2018-09-01,-14.418074273349,3868,4.68552184034035,5.47489648142053
2018-11-01,-3.72267652671432,3867,4.51109501863593,4.68552184034035
2019-01-01,0.29149394342446,3867,4.52424458739737,4.51109501863593
2019-03-01,23.336897437937,3868,5.58006290659971,4.52424458739737
2019-05-01,-5.21447838570785,3868,5.28909173242617,5.58006290659971
2019-07-01,3.39794685142249,3863,5.46881225841699,5.28909173242617
2019-09-01,1.96063818331959,3868,5.57603587972958,5.46881225841699
2019-11-01,7.85990461872762,3868,6.01430698138235,5.57603587972958
2020-01-01,-2.66405625361873,3738,5.85408246013301,6.01430698138235
2020-03-01,-4.74881294409478,3866,5.57608303450823,5.85408246013301
2020-05-01,-1.45310013781688,3868,5.495056964249,5.57608303450823
2020-07-01,-7.41824686745266,3867,5.08742007313386,5.495056964249
2020-09-01,-1.73454123376264,3868,4.99917667423064,5.08742007313386
2020-11-01,-11.0018594878799,3859,4.44917428098092,4.99917667423064
2021-01-01,-36.6718338270783,3862,2.81758048198249,4.44917428098092
2021-03-01,96.5757227886111,3866,5.53867919760791,2.81758048198249
2021-05-01,1.89799027438674,3868,5.64380279010799,5.53867919760791
2021-07-01,-8.76894176965368,3868,5.14890100984933,5.64380279010799
2021-09-01,-0.057752623063721,3866,5.14592738445719,5.14890100984933
2021-11-01,-2.456767437039,3853,5.01950391614217,5.14592738445719
2022-01-01,-30.2376568628464,3866,3.50172354576197,5.01950391614217
2022-03-01,54.7961786441674,3868,5.42053423552257,3.50172354576197
2022-05-01,-1.02764526531,3866,5.36483037209671,5.42053423552257
2022-07-01,1.49898724329847,3856,5.44524849499904,5.36483037209671
2022-09-01,-1.46079631994802,3868,5.36570450537207,5.44524849499904
2022-11-01,-17.0385438973191,3868,4.45146658782382,5.36570450537207
2023-01-01,4.90375030903871,3862,4.66975539438099,4.45146658782382
2023-03-01,11.7033179852964,3868,5.21627171732092,4.66975539438099
2023-05-01,9.27555986875898,3868,5.70011012337817,5.21627171732092
2023-07-01,-8.92041436259679,3868,5.19163668124851,5.70011012337817
2023-09-01,-0.988522448189596,3868,5.14031618722592,5.19163668124851
2023-11-01,-0.246033328063284,3866,5.12766929623751,5.14031618722592
2024-01-01,45.1618629325902,3867,7.44342027544081,5.12766929623751
2024-03-01,-20.1660914721943,3866,5.94237333403556,7.44342027544081
2024-05-01,-3.63159499733503,3868,5.72657040131376,5.94237333403556
2024-07-01,-25.3099868061082,3861,4.27717618829875,5.72657040131376
2024-09-01,-12.4063569936134,3868,3.74653444113258,4.27717618829875
2024-11-01,28.7631609887393,3680,4.82415617393411,3.74653444113258
