"ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date"
NA,NA,NA,NA,"2012-01-01"
NA,NA,NA,NA,"2012-01-02"
NA,NA,NA,NA,"2012-01-03"
NA,NA,NA,NA,"2012-01-04"
NA,NA,NA,NA,"2012-01-05"
NA,NA,NA,NA,"2012-01-06"
NA,NA,NA,NA,"2012-01-07"
NA,NA,NA,NA,"2012-01-08"
NA,NA,NA,NA,"2012-01-09"
NA,NA,NA,NA,"2012-01-10"
NA,NA,NA,NA,"2012-01-11"
NA,NA,NA,NA,"2012-01-12"
NA,NA,NA,NA,"2012-01-13"
NA,NA,NA,NA,"2012-01-14"
NA,NA,NA,NA,"2012-01-15"
NA,NA,NA,NA,"2012-01-16"
NA,NA,NA,NA,"2012-01-17"
NA,NA,NA,NA,"2012-01-18"
NA,NA,NA,NA,"2012-02-02"
NA,NA,NA,NA,"2012-02-18"
NA,NA,NA,NA,"2012-02-19"
NA,NA,NA,NA,"2012-03-10"
NA,NA,NA,NA,"2012-03-24"
NA,NA,NA,NA,"2012-03-25"
NA,NA,NA,NA,"2012-03-26"
NA,NA,NA,NA,"2012-03-28"
NA,NA,NA,NA,"2012-06-21"
NA,NA,NA,NA,"2012-06-22"
NA,NA,NA,NA,"2012-11-22"
4.34626197814941,907,887,0.977949283351709,"2012-01-19"
4.28175067901611,907,890,0.981256890848953,"2012-01-20"
4.28458213806152,907,891,0.982359426681367,"2012-01-21"
4.28304481506348,907,889,0.980154355016538,"2012-01-22"
4.01506376266479,907,905,0.997794928335171,"2012-01-23"
4.25088548660278,907,905,0.997794928335171,"2012-01-24"
4.30704069137573,907,907,1,"2012-01-25"
4.30370426177979,907,903,0.995589856670342,"2012-01-26"
4.31653690338135,907,903,0.995589856670342,"2012-01-27"
4.30438566207886,907,904,0.996692392502756,"2012-01-28"
4.30438566207886,907,904,0.996692392502756,"2012-01-29"
3.46463847160339,907,904,0.996692392502756,"2012-01-30"
4.30350828170776,907,907,1,"2012-01-31"
4.30355358123779,907,906,0.998897464167585,"2012-02-01"
4.39758396148682,907,894,0.985667034178611,"2012-02-03"
4.04806423187256,907,893,0.984564498346196,"2012-02-04"
4.17320823669434,907,886,0.976846747519294,"2012-02-05"
4.27684831619263,907,892,0.983461962513782,"2012-02-06"
4.19638538360596,907,887,0.977949283351709,"2012-02-07"
3.24352097511292,907,890,0.981256890848953,"2012-02-08"
3.24153780937195,907,893,0.984564498346196,"2012-02-09"
3.24001264572144,907,898,0.990077177508269,"2012-02-10"
3.02162432670593,907,891,0.982359426681367,"2012-02-11"
3.24829292297363,907,893,0.984564498346196,"2012-02-12"
3.23832726478577,907,891,0.982359426681367,"2012-02-13"
