name,date,total_ntl,total_pixels,weighted_ntl_mean,prev_weighted_ntl_mean,pct_change
Arbutus Ridge,1月 2012,110.79215693473823,37,2.99438261985779,NA,NA
Arbutus Ridge,3月 2012,146.4187660217284,37,3.9572639465332,2.99438261985779,32.15625552626069
Arbutus Ridge,5月 2012,119.41933345794676,37,3.22754955291748,3.9572639465332,-18.4398716758581
Arbutus Ridge,7月 2012,114.86293816566456,37,3.10440373420715,3.22754955291748,-3.8154586534237582
Arbutus Ridge,9月 2012,121.0768644809724,37,3.27234768867493,3.10440373420715,5.40986188804053
Arbutus Ridge,11月 2012,96.52590632438677,37,2.60880827903748,3.27234768867493,-20.27716712175339
Arbutus Ridge,1月 2013,89.47942566871625,37,2.41836285591125,2.60880827903748,-7.300092714996093
Arbutus Ridge,3月 2013,137.59619355201716,37,3.71881604194641,2.41836285591125,53.7741134609489
Arbutus Ridge,5月 2013,130.5042469501495,37,3.5271418094635,3.71881604194641,-5.154173541280853
Arbutus Ridge,7月 2013,131.026470184326,37,3.54125595092773,3.5271418094635,0.40015803805678835
Arbutus Ridge,9月 2013,114.96857547759993,37,3.10725879669189,3.54125595092773,-12.255458522339858
Arbutus Ridge,11月 2013,133.77747750282273,37,3.61560750007629,3.10725879669189,16.36003746857545
Arbutus Ridge,1月 2014,112.521009683609,37,3.04110836982727,3.61560750007629,-15.88942190868057
Arbutus Ridge,3月 2014,132.47082996368403,37,3.58029270172119,3.04110836982727,17.729862481834044
Arbutus Ridge,5月 2014,126.83310556411729,37,3.42792177200317,3.58029270172119,-4.255823263968598
Arbutus Ridge,7月 2014,122.56044459342958,37,3.31244444847107,3.42792177200317,-3.3687269200609187
Arbutus Ridge,9月 2014,107.01146149635319,37,2.8922016620636,3.31244444847107,-12.68678744488657
Arbutus Ridge,11月 2014,121.12604427337655,37,3.27367687225342,2.8922016620636,13.189786009514833
Arbutus Ridge,1月 2015,112.15933752059954,37,3.03133344650269,3.27367687225342,-7.402790049462464
Arbutus Ridge,3月 2015,117.69813776016242,37,3.18103075027466,3.03133344650269,4.938331807234165
Arbutus Ridge,5月 2015,115.46835684776293,37,3.12076640129089,3.18103075027466,-1.8944912424555018
Arbutus Ridge,7月 2015,119.12032032012925,37,3.21946811676025,3.12076640129089,3.162739621540799
Arbutus Ridge,9月 2015,96.72514843940722,37,2.61419320106506,3.21946811676025,-18.800463112033487
