"name","population","population_density","ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date","pct_change"
59150396,660,5246.4,3.50549697875977,4,4,1,"2015-05",-2.57166818101338
59150397,456,7651,3.41000008583069,2,2,1,"2015-05",-6.97801909416681
59150398,492,7687.5,3.30953407287598,4,4,1,"2015-05",-10.5363183623004
59150399,478,7320.1,3.10159087181091,2,2,1,"2015-05",-16.3222874034411
59150400,711,7414,3.35760974884033,6,6,1,"2015-05",-6.98891072726961
59150401,623,6720.6,3.65198087692261,2,2,1,"2015-05",-5.72057982375372
59150402,702,4117.3,3.45446586608887,4,4,1,"2015-05",-1.67671858157929
59150403,649,6838.8,3.54749441146851,4,4,1,"2015-05",-10.9499366863682
59150404,537,9538.2,4.80878973007202,2,2,1,"2015-05",16.2587102415552
59150405,473,7221.4,5.11001491546631,3,3,1,"2015-05",15.1548449809406
59150406,739,6621.9,4.61500883102417,5,5,1,"2015-05",6.43365293350382
59150407,767,7899.1,4.37022972106934,4,4,1,"2015-05",6.50367078885986
59150408,753,9194.1,4.96621894836426,6,6,1,"2015-05",13.9104045607405
59150409,482,8087.2,4.60717964172363,4,4,1,"2015-05",9.98038397238611
59150410,581,6693.5,3.74588251113892,2,2,1,"2015-05",-1.39806729450086
59150412,448,7593.2,3.62433838844299,4,4,1,"2015-05",9.47820896674669
59150414,649,9140.8,3.41650128364563,4,4,1,"2015-05",8.66959150029273
59150415,886,7540.4,3.42243266105652,4,4,1,"2015-05",-3.28474389972992
59150416,663,7424.4,3.42402410507202,2,2,1,"2015-05",10.8711127573747
59150417,484,6816.9,3.42006039619446,4,4,1,"2015-05",3.72118004105401
59150419,447,4890.6,3.08168792724609,4,4,1,"2015-05",-0.848441333094014
59150420,556,6457.6,4.44689798355103,4,4,1,"2015-05",4.96480921384978
59150421,642,6400.8,4.54426670074463,5,5,1,"2015-05",9.67247235349774
59150422,894,10275.9,3.28110718727112,2,2,1,"2015-05",3.30957151404293
59150423,468,3518.8,4.47348785400391,4,4,1,"2015-05",12.6327788886415
59150424,862,5727.6,3.08426594734192,4,4,1,"2015-05",-11.2096690446174
59150425,388,4439.4,3.79668569564819,4,4,1,"2015-05",-0.648852306725723
59150426,634,2536,3.09950160980225,7,7,1,"2015-05",-2.78776842580992
59150427,568,5541.5,3.48059439659119,4,4,1,"2015-05",-1.55995817400824
59150428,589,3918.8,3.89941787719727,4,4,1,"2015-05",4.77943032452194
59150429,562,5137.1,3.44074749946594,3,3,1,"2015-05",-3.47587525759606
59150430,545,6550.5,3.94547438621521,4,4,1,"2015-05",-2.36601589611709
59150431,600,5763.7,3.99698209762573,4,4,1,"2015-05",2.52745869652085
59150432,878,6626.4,4.16679763793945,6,6,1,"2015-05",-1.49419053660174
59150433,496,7873,4.16831064224243,3,3,1,"2015-05",-8.14470413916102
59150434,477,6943.2,4.17866992950439,3,3,1,"2015-05",-6.57899491975065
59150435,598,8704.5,4.4056282043457,3,3,1,"2015-05",-9.95933135052847
59150436,776,7152.1,4.64580774307251,6,6,1,"2015-05",2.60147214633297
59150437,1252,12061.7,5.04676914215088,7,7,1,"2015-05",2.96328356603059
59150438,819,9285.7,4.74548292160034,2,2,1,"2015-05",2.53441991805476
59150439,507,4941.5,4.10681295394897,6,6,1,"2015-05",-10.2556958113162
59150440,642,5676.4,4.08465766906738,4,4,1,"2015-05",-0.481528175811398
59150441,651,5641.2,3.51418471336365,3,3,1,"2015-05",-7.60310069200068
59150442,641,6116.4,3.30225276947021,6,6,1,"2015-05",-18.0523141232941
59150443,690,5817.9,3.09282374382019,2,2,1,"2015-05",2.46520083300785
59150444,764,7527.1,2.92000007629395,2,2,1,"2015-05",-8.21227740628433
59150445,627,7108.8,3.02478361129761,8,8,1,"2015-05",1.05528127319405
59150446,507,6057.3,2.9842631816864,2,2,1,"2015-05",1.60741742093488
59150447,693,8794.4,3.04841351509094,4,4,1,"2015-05",1.27906878190858
59150448,636,6278.4,2.99773597717285,2,2,1,"2015-05",-5.94530481150936
59150449,617,5215.6,2.89401960372925,6,6,1,"2015-05",-8.07418861924882
59150450,575,4107.1,3.15325260162354,4,4,1,"2015-05",-1.7225034118504
59150451,506,6239.2,2.84123587608337,2,2,1,"2015-05",-5.67473355522251
59150452,424,5083.9,2.60039186477661,5,5,1,"2015-05",-9.15009944746239
59150453,632,6112.2,3.21095037460327,2,2,1,"2015-05",-3.39722493996283
59150454,683,4526.2,3.50098419189453,4,4,1,"2015-05",-6.33053521473563
59150455,822,5425.7,3.46027231216431,4,4,1,"2015-05",-13.599958756867
59150457,731,5285.6,4.06463766098022,4,4,1,"2015-05",-4.51954220437824
59150459,678,6759.7,4.54808330535889,4,4,1,"2015-05",5.91632008153489
59150460,516,8113.2,4.44281959533691,3,3,1,"2015-05",-4.07744085108674
59150461,369,8443.9,4.40451717376709,2,2,1,"2015-05",-6.32137436747256
59150462,449,10490.7,4.07000017166138,1,1,1,"2015-05",-14.6750484709471
59150463,555,5787.3,3.69460844993591,4,4,1,"2015-05",0.451660391264836
59150465,518,7719.8,3.47088074684143,4,4,1,"2015-05",0.513624502521298
59150466,481,8016.7,3.45792698860168,2,2,1,"2015-05",-4.13655896601576
59150468,564,6706.3,3.32636260986328,2,2,1,"2015-05",-11.4906933367827
59150469,641,7798.1,3.35218143463135,4,4,1,"2015-05",-2.54579511052572
59150470,578,9059.6,3.33820056915283,4,4,1,"2015-05",-1.29962448337379
59150471,634,8544.5,3.28957867622375,3,3,1,"2015-05",5.82569703101914
59150472,472,8054.6,3.26020956039429,4,4,1,"2015-05",3.93646049268894
59150473,658,7852,3.2083842754364,2,2,1,"2015-05",-0.109933758415661
59150474,649,7707.8,3.96995162963867,4,4,1,"2015-05",10.6979759001381
59150475,696,8477.5,4.28999996185303,1,1,1,"2015-05",15.0134032149051
59150476,896,5848.6,4.39574527740479,5,5,1,"2015-05",6.99099102863226
59150477,615,7834.4,4.45994710922241,6,6,1,"2015-05",12.0417630825879
59150478,765,7758.6,4.5,2,2,1,"2015-05",13.9896117712965
59150479,472,2862.3,4.34608554840088,4,4,1,"2015-05",14.822301931919
59150480,535,8346.3,3.54080009460449,4,4,1,"2015-05",-6.40697158529466
59150481,477,8457.4,3.16429114341736,2,2,1,"2015-05",-13.4178357575623
59150482,846,9505.6,4.01398992538452,4,4,1,"2015-05",3.89403284975225
59150483,502,8422.8,2.7640540599823,2,2,1,"2015-05",-10.618602395252
59150484,697,7676.2,5.34061813354492,4,4,1,"2015-05",48.3116310099175
59150485,538,3907,4.21412181854248,4,4,1,"2015-05",48.626633950037
59150486,585,9766.3,4.4797830581665,4,4,1,"2015-05",48.6583691939929
59150487,437,2629.4,3.46963572502136,5,5,1,"2015-05",-21.1539665993395
59150488,472,6742.9,7.35273027420044,4,4,1,"2015-05",3.48311249704879
59150489,572,4758.7,6.68740081787109,2,2,1,"2015-05",31.4487636483164
59150490,524,5586.4,6.03796243667603,2,2,1,"2015-05",26.7469397368415
59150491,470,15932.2,5.83629989624023,3,3,1,"2015-05",24.8876638259253
59150492,576,8067.2,4.72906732559204,2,2,1,"2015-05",24.3423242170739
59150493,464,12817.7,5.48075342178345,4,4,1,"2015-05",-2.14519120043619
59150494,404,15419.8,5.28422069549561,2,2,1,"2015-05",-10.9757095853906
59150495,635,992.3,6.3380331993103,11,11,1,"2015-05",6.93225196098086
59150496,599,17163.3,7.54405498504639,4,4,1,"2015-05",12.4794589052268
59150497,624,20064.3,8.18313980102539,2,2,1,"2015-05",15.6536054394628
59150498,600,15957.4,8.26420307159424,4,4,1,"2015-05",26.2826333062449
59150499,629,17818.7,9.20955181121826,2,2,1,"2015-05",43.9339367671799
59150500,722,15833.3,9.61998653411865,2,2,1,"2015-05",45.9784317830012
59150503,527,12370.9,5.8953800201416,4,4,1,"2015-05",12.7795930505155
59150504,1013,4640.4,3.48737788200378,5,5,1,"2015-05",-7.16376549791033
59150505,646,6140.7,4.37240409851074,5,5,1,"2015-05",6.17431417865858
59150506,386,4478,3.48748922348022,2,2,1,"2015-05",0.651092099775429
59150507,474,3220.1,3.95398187637329,4,4,1,"2015-05",9.45493242771436
59150508,464,3668,3.54050946235657,4,4,1,"2015-05",10.9058018179174
59150509,427,2583.2,2.76948261260986,4,4,1,"2015-05",-1.60029262261348
59150510,459,2462.4,3.2393798828125,5,5,1,"2015-05",15.8125579619222
59150511,346,2709.5,3.30686545372009,6,6,1,"2015-05",1.70533535081909
59150512,459,2075,2.89584732055664,4,4,1,"2015-05",-3.96120388337553
59150513,471,2783.7,3.46651124954224,4,4,1,"2015-05",2.64340837967308
59150514,608,3018.9,3.50013709068298,6,6,1,"2015-05",7.39770448130339
59150515,383,1847.6,3.49776983261108,6,6,1,"2015-05",-6.28886875506555
59150516,471,3062.4,3.64870834350586,4,4,1,"2015-05",-9.11358889089762
59150517,406,2976.5,3.54649209976196,3,3,1,"2015-05",-16.0936655652189
59150518,414,3174.8,3.99725890159607,4,4,1,"2015-05",-4.91364669139198
59150519,403,2583.3,2.83381223678589,6,6,1,"2015-05",-36.1889287922718
59150520,1012,6155.7,4.44963932037354,6,6,1,"2015-05",-9.36463253153467
59150521,608,3855.4,4.3743257522583,4,4,1,"2015-05",-7.43847999998396
59150522,585,4791.2,4.08605575561523,3,3,1,"2015-05",-2.25589553193045
59150523,613,5239.3,4.43246269226074,6,6,1,"2015-05",6.09827670945111
59150524,502,5796.8,3.95173478126526,3,3,1,"2015-05",6.31349671045917
59150525,523,6339.4,3.9884922504425,2,2,1,"2015-05",-2.51938255522266
59150526,559,6817.1,3.79711699485779,4,4,1,"2015-05",6.32676534165216
59150527,561,8806.9,4.24660110473633,4,4,1,"2015-05",10.3677158709528
59150528,552,7206.3,4.19786167144775,4,4,1,"2015-05",0.668178290500434
59150529,537,5587.9,4.33276891708374,4,4,1,"2015-05",4.35095228760224
59150530,581,11785,4.1892786026001,2,2,1,"2015-05",9.51384031782317
59150531,757,4358.1,4.15132904052734,4,4,1,"2015-05",15.0228887273653
59150532,595,6356.8,4.25804233551025,3,3,1,"2015-05",4.79946211680129
59150533,620,6391.8,4.29731607437134,2,2,1,"2015-05",6.03631469852147
59150534,535,5437,4.50141620635986,6,6,1,"2015-05",21.6496741124117
59150535,599,6427,3.91504526138306,3,3,1,"2015-05",4.21143697244234
59150536,516,10320,3.83479166030884,4,4,1,"2015-05",-0.124519267638093
59150537,586,6666.7,3.56665778160095,2,2,1,"2015-05",-9.93288517062943
59150538,186,2336.7,3.43784022331238,3,3,1,"2015-05",-11.138137214476
59150539,483,5149.3,4.85965776443481,2,2,1,"2015-05",36.5795493203917
59150540,572,4677,5.21811532974243,4,4,1,"2015-05",48.238680511982
59150541,733,3087.6,4.77565145492554,5,5,1,"2015-05",2.73175059878239
59150542,456,4672.1,5.23999977111816,2,2,1,"2015-05",24.4834578272582
59150543,515,2200.9,5.60777759552002,5,5,1,"2015-05",11.2807164592171
59150544,782,3927.7,5.74542903900146,6,6,1,"2015-05",-8.26505703780449
59150545,660,1444.5,5.01537036895752,7,7,1,"2015-05",-18.2235863899339
59150546,653,3809.8,4.86034536361694,5,5,1,"2015-05",-30.5246772799115
59150547,504,10478.2,5.73763084411621,2,2,1,"2015-05",-17.8272722554421
59150548,397,2713.6,4.43612146377563,4,4,1,"2015-05",4.56311683523963
59150549,467,3092.7,3.64369487762451,6,6,1,"2015-05",6.24657915561889
59150550,627,3013,3.60462617874146,6,6,1,"2015-05",-21.4727773747826
59150551,470,2888.8,3.48216152191162,3,3,1,"2015-05",-6.33521236957363
59150552,440,2679.7,3.42496299743652,6,6,1,"2015-05",-11.5352611647094
59150553,583,1734.6,3.25373816490173,8,8,1,"2015-05",-6.04738466643524
59150554,482,2013.4,2.88189840316772,6,6,1,"2015-05",2.50416798815483
59150555,658,3801.3,3.44216370582581,4,4,1,"2015-05",8.25761289156247
59150556,848,6945.1,3.89113736152649,5,5,1,"2015-05",6.63878611460943
59150557,602,5663.2,3.33991479873657,4,4,1,"2015-05",3.79406589091291
59150558,568,8377.6,3.64231610298157,2,2,1,"2015-05",-3.5433849160406
59150559,453,5061.5,2.9354465007782,4,4,1,"2015-05",-7.80536934110331
59150560,580,3884.8,2.85537219047546,4,4,1,"2015-05",-12.8134843363755
59150561,536,1949.1,2.27313709259033,6,6,1,"2015-05",-5.45151129179884
59150562,561,3085.8,2.91355681419373,5,5,1,"2015-05",-8.58710981274845
59150563,652,15305.2,3.227783203125,2,2,1,"2015-05",-9.58908500705736
59150564,616,6821.7,3.36127042770386,6,6,1,"2015-05",11.0439948204324
59150565,541,4692.1,3.22329163551331,3,3,1,"2015-05",15.3570844083785
59150566,536,11166.7,3.49216604232788,2,2,1,"2015-05",5.82829180279757
59150567,567,13247.7,2.92540860176086,4,4,1,"2015-05",0.705047188769576
59150568,576,12281.4,2.97991585731506,4,4,1,"2015-05",-6.09353145644715
59150569,842,12719,3.9636492729187,2,2,1,"2015-05",-3.60401732312601
59150570,500,7518.8,3.74202823638916,4,4,1,"2015-05",-1.16986409537433
59150571,566,1826.4,3.17344856262207,6,6,1,"2015-05",-11.135804496751
59150572,341,2567.8,2.9136598110199,6,6,1,"2015-05",-8.06496009843497
59150573,1430,23793.7,3.17252850532532,2,2,1,"2015-05",-2.69755617583964
59150575,695,3084.8,3.43790459632874,6,6,1,"2015-05",-1.60498675350951
59150577,819,3941.3,3.25261759757996,6,6,1,"2015-05",-14.6635333079496
59150578,463,1994,3.16094207763672,5,5,1,"2015-05",9.24820106092602
59150579,413,3453.2,3.15131425857544,4,4,1,"2015-05",-7.08035181825235
59150580,473,3490.8,3.23564457893372,6,6,1,"2015-05",5.44532277062816
59150581,366,3262,3.31451392173767,2,2,1,"2015-05",-4.82210042642228
59150582,580,3800.8,3.57769823074341,3,3,1,"2015-05",3.08173143767529
59150583,567,5178.1,4.29828691482544,5,5,1,"2015-05",4.89917163253091
59150584,615,6902.4,5.0994553565979,4,4,1,"2015-05",30.9917119761513
59150585,480,3915.2,4.71969747543335,4,4,1,"2015-05",34.1949962827643
59150586,541,3063.4,5.43045234680176,6,6,1,"2015-05",18.5159947125881
59150587,577,6601.8,5.07443046569824,3,3,1,"2015-05",16.9677990051554
59150588,585,5993.9,4.84979009628296,4,4,1,"2015-05",-6.07840482793563
59150589,468,4829.7,4.21104383468628,4,4,1,"2015-05",6.77033952710669
59150590,545,5601.2,3.52878952026367,4,4,1,"2015-05",-12.8789996046808
59150591,625,5487.3,3.40677762031555,4,4,1,"2015-05",-10.304133537486
59150592,617,6283.1,3.97274613380432,4,4,1,"2015-05",-19.6792540978612
59150593,547,6519.7,3.87417531013489,4,4,1,"2015-05",-7.93325673885417
59150594,452,6776.6,4.13845920562744,3,3,1,"2015-05",-6.21254070860458
59150595,666,7551,4.09656524658203,4,4,1,"2015-05",3.78184782865389
59150596,476,6898.6,4.3769907951355,4,4,1,"2015-05",9.22546218042416
59150597,731,8849.9,4.35916471481323,4,4,1,"2015-05",16.1201043474396
59150598,594,7217.5,4.5379638671875,2,2,1,"2015-05",36.0330488495695
59150599,624,16124,4.34213304519653,4,4,1,"2015-05",22.8657452030028
59150600,504,4476,3.60713315010071,4,4,1,"2015-05",27.1428391349581
59150601,730,10082.9,4.53935098648071,2,2,1,"2015-05",35.961551411569
59150602,415,7230,3.76177453994751,4,4,1,"2015-05",87.0778927129378
59150603,424,6962.2,3.39578104019165,4,4,1,"2015-05",34.1797411543482
59150604,630,10880.8,3.76206374168396,2,2,1,"2015-05",11.8452607856848
59150605,470,6901.6,3.83379554748535,3,3,1,"2015-05",9.74122463180457
59150606,714,9026.5,3.32536458969116,4,4,1,"2015-05",-17.1703028159362
59150607,819,9403,3.16875195503235,3,3,1,"2015-05",-14.9884290648586
59150608,620,7077.6,3.84803557395935,5,5,1,"2015-05",-22.9702128325715
59150609,514,6692.7,4.56442642211914,4,4,1,"2015-05",-19.1851903758043
59150610,675,12688,4.23366975784302,4,4,1,"2015-05",-5.1311755726038
59150611,682,8868.7,5.37782573699951,2,2,1,"2015-05",-11.6588359156418
59150612,562,7168.4,4.42997121810913,3,3,1,"2015-05",-21.9327813357769
59150613,653,10171.3,5.45566368103027,2,2,1,"2015-05",-6.58380391063741
59150614,639,9726,4.46726274490356,4,4,1,"2015-05",1.87156686759994
59150615,489,7628.7,5.77153062820435,2,2,1,"2015-05",4.0336561610565
59150616,599,12249.5,4.84207582473755,4,4,1,"2015-05",-0.379144325009761
59150617,521,16281.3,5.77999973297119,1,1,1,"2015-05",5.47444731484547
59150618,657,13744.8,5.6024022102356,4,4,1,"2015-05",-8.14317953224434
59150619,591,11150.9,5.78490018844604,3,3,1,"2015-05",-0.0937479489549091
59150620,541,8123.1,5.68303251266479,2,2,1,"2015-05",-17.1058362354192
59150621,468,9397.6,4.97592353820801,2,2,1,"2015-05",-4.43953279411805
59150622,472,13760.9,4.97808122634888,2,2,1,"2015-05",-5.54620347922563
59150623,488,14227.4,4.98999977111816,1,1,1,"2015-05",-11.2099742109174
59150624,551,16301.8,4.98432397842407,2,2,1,"2015-05",-8.60314995150314
59150625,594,17891.6,2.80262756347656,4,4,1,"2015-05",-20.0528144671487
59150626,564,16300.6,4.94780445098877,4,4,1,"2015-05",-14.7488824463081
59150627,521,5626.3,3.2946572303772,5,5,1,"2015-05",-25.517713239514
59150628,680,10164.4,7.17345809936523,2,2,1,"2015-05",-0.506823004000034
59150629,531,10270.8,6.50054359436035,2,2,1,"2015-05",-6.6251065248044
59150630,1216,4287.7,10.0035181045532,8,8,1,"2015-05",30.2972398887008
59150631,1140,23553.7,10.0975370407104,3,3,1,"2015-05",32.1121896799353
59150632,1270,8289.8,10.5818719863892,3,3,1,"2015-05",27.0565523704357
59150633,705,13031.4,9.78675174713135,3,3,1,"2015-05",31.7136002211708
59150634,518,14757.8,5.19788885116577,4,4,1,"2015-05",-31.001160681795
59150635,571,15730,4.20942878723145,2,2,1,"2015-05",-36.6785711288447
59150636,723,20195.5,4.38644647598267,2,2,1,"2015-05",-40.4849607674303
59150637,483,5482.4,3.84870004653931,6,6,1,"2015-05",-30.996925030871
59150638,660,11849.2,5.38528776168823,2,2,1,"2015-05",-29.9448951328997
59150639,510,18681.3,5.62847232818604,4,4,1,"2015-05",-21.7085003572403
59150640,449,11909.8,5.44058609008789,2,2,1,"2015-05",-46.0770347788961
59150641,685,19241.6,5.80094385147095,2,2,1,"2015-05",-36.4592707607874
59150642,645,17338.7,6.72913837432861,2,2,1,"2015-05",-26.1018073499871
59150643,614,17492.9,7.15611791610718,4,4,1,"2015-05",-3.13284838655076
59150644,628,17300.3,8.14566707611084,2,2,1,"2015-05",7.35927585429977
59150645,484,6845.8,5.67178153991699,5,5,1,"2015-05",10.4653552580219
59150646,586,15967.3,6.17999982833862,1,1,1,"2015-05",-9.91254069885
59150647,571,15861.1,6.22800493240356,4,4,1,"2015-05",-0.0979281125200451
59150648,429,22228,7.08486890792847,2,2,1,"2015-05",3.06555588181087
59150649,672,3599.4,8.99650859832764,6,6,1,"2015-05",31.9210374770344
59150650,468,13604.7,7.80091667175293,2,2,1,"2015-05",20.3914174399647
59150651,392,13564,7.78670501708984,4,4,1,"2015-05",18.7540337884482
59150652,718,17772.3,4.4411678314209,3,3,1,"2015-05",-16.4206389908527
59150653,475,10626.4,4.50607919692993,2,2,1,"2015-05",-21.3710702729616
59150654,615,10477,4.38442659378052,2,2,1,"2015-05",-11.689668648336
59150655,496,8038.9,4.56673240661621,4,4,1,"2015-05",8.88715946229103
59150656,439,5557,4.82399749755859,3,3,1,"2015-05",9.7009303696917
59150657,496,1137.1,5.0332498550415,8,8,1,"2015-05",5.70366734141622
59150658,683,5455.3,4.62819480895996,4,4,1,"2015-05",20.9584226249673
59150659,591,2933,5.28091335296631,4,4,1,"2015-05",29.7449905873805
59150660,476,1787.5,3.69790410995483,6,6,1,"2015-05",-0.795579320348834
59150661,538,1777.3,3.13601160049438,8,8,1,"2015-05",-4.82802872310447
59150662,429,1522.9,3.35470008850098,7,7,1,"2015-05",-1.3251223439889
59150663,446,1606,3.2996654510498,4,4,1,"2015-05",4.35184391392629
59150664,493,1781.1,3.50014972686768,8,8,1,"2015-05",-2.48981322299332
59150665,475,2792.5,3.67405533790588,4,4,1,"2015-05",17.6994294786256
59150666,423,1468.8,3.88989043235779,6,6,1,"2015-05",-1.41415849185744
59150667,462,2033.5,4.32919645309448,5,5,1,"2015-05",-3.28564184834604
59150668,491,1264.8,4.01165676116943,8,8,1,"2015-05",-0.117120917344842
59150669,572,6574.7,4.31660079956055,4,4,1,"2015-05",-23.8130858047991
59150670,523,2770.1,4.40802431106567,6,6,1,"2015-05",16.1808202612639
59150671,572,1389,4.87288522720337,9,9,1,"2015-05",0.102706555274053
59150672,651,3802.6,4.48642015457153,5,5,1,"2015-05",-5.52358434817412
59150673,444,3072.7,4.48828315734863,5,5,1,"2015-05",12.6207031300944
59150674,488,4341.6,4.52579402923584,4,4,1,"2015-05",19.6408736011213
59150675,667,7297.6,4.5846962928772,4,4,1,"2015-05",21.9312165906923
59150676,546,6715.9,4.53100967407227,2,2,1,"2015-05",16.7535222927256
59150677,523,5850.1,4.23964023590088,4,4,1,"2015-05",17.2896104248169
59150678,594,7139.4,4.68968677520752,4,4,1,"2015-05",10.0389942499929
59150679,414,6468.8,4.92361927032471,2,2,1,"2015-05",-12.7758304669935
59150680,665,5569.5,5.11437225341797,6,6,1,"2015-05",9.97140907578564
59150681,445,7295.1,4.69538545608521,3,3,1,"2015-05",17.0668706126392
59150682,738,7270.9,4.47373867034912,5,5,1,"2015-05",15.6259447183337
59150683,571,6240.4,4.3863525390625,3,3,1,"2015-05",21.608328781263
59150684,764,8076.1,4.33611011505127,4,4,1,"2015-05",7.16804621664282
59150685,947,8585.7,3.95255327224731,4,4,1,"2015-05",3.0034526657971
59150686,327,7155.4,3.84594798088074,4,4,1,"2015-05",-2.27262496956435
59150687,440,7705.8,3.39596486091614,3,3,1,"2015-05",-14.0602198930399
59150688,535,6957.1,4.0838680267334,4,4,1,"2015-05",1.53267115641955
59150689,447,4966.7,3.22999978065491,2,2,1,"2015-05",-14.1900669987053
59150690,559,6432.7,3.91801857948303,5,5,1,"2015-05",-2.17982468828648
59150691,507,5547,4.02475118637085,4,4,1,"2015-05",-2.14381245777011
59150692,640,7872.1,4.16589736938477,3,3,1,"2015-05",0.466596787353379
59150693,419,5787.3,4.34750366210938,2,2,1,"2015-05",7.27377250897339
59150694,489,2633.3,3.86821269989014,6,6,1,"2015-05",10.2460781158022
59150695,564,1362.6,3.24239540100098,9,9,1,"2015-05",3.34016842673183
59150696,504,7875,3.91528677940369,2,2,1,"2015-05",12.3441055561952
59150697,674,6877.6,4.02757740020752,4,4,1,"2015-05",16.7244569439058
59150698,572,7240.5,4.33693790435791,4,4,1,"2015-05",16.9067460645177
59150699,489,4190.2,4.0417537689209,6,6,1,"2015-05",5.03106042230271
59150700,508,4487.6,3.56089568138123,3,3,1,"2015-05",-21.7446367584801
59150701,530,6408.7,3.6374499797821,3,3,1,"2015-05",-11.3970254302393
59150702,483,15333.3,4.63000440597534,4,4,1,"2015-05",-1.44018711074014
59150703,473,8003.4,5.31956577301025,4,4,1,"2015-05",-5.87176635953334
59150704,629,7180.4,5.50686120986938,3,3,1,"2015-05",2.66531696504526
59150705,585,10502.7,5.07726621627808,4,4,1,"2015-05",0.389364975311037
59150706,316,15414.6,6.95595550537109,2,2,1,"2015-05",1.0401926425304
59150707,404,15131.1,6.95990085601807,2,2,1,"2015-05",-5.81840336442435
59150708,898,8544.2,7.04211473464966,5,5,1,"2015-05",2.57843141885439
59150709,1605,11845,7.19302845001221,5,5,1,"2015-05",1.55585406561072
59150710,606,8951.3,7.42397594451904,5,5,1,"2015-05",5.0855637199946
59150711,1032,14978.2,8.83971691131592,3,3,1,"2015-05",34.2933787839813
59150712,472,10654.6,5.40443277359009,4,4,1,"2015-05",-10.3954598136426
59150713,470,6685.6,5.86502504348755,2,2,1,"2015-05",-0.70543599204113
59150714,245,17132.9,5.40339374542236,2,2,1,"2015-05",-12.0773805219429
59150715,476,16819.8,5.40665102005005,2,2,1,"2015-05",-16.1567605035784
59150716,428,14861.1,5.42559862136841,2,2,1,"2015-05",-19.5807326876687
59150717,360,12371.1,5.6062068939209,4,4,1,"2015-05",-18.0629316532974
59150718,533,18968,6.02750492095947,2,2,1,"2015-05",-15.5109409526764
59150719,430,15140.8,6.4627251625061,2,2,1,"2015-05",-12.5476958150539
59150720,559,7374.7,6.4505295753479,4,4,1,"2015-05",-11.0119258669366
59150721,433,14828.8,7.28090333938599,2,2,1,"2015-05",0.220852425514007
59150722,481,16416.4,6.33150959014893,4,4,1,"2015-05",-12.3812782949011
59150723,447,9977.7,3.82000017166138,2,2,1,"2015-05",-2.79830722854307
59150724,467,8236.3,5.43780374526978,2,2,1,"2015-05",23.9468636791126
59150725,495,8730.2,6.19716644287109,4,4,1,"2015-05",34.35528145459
59150726,478,8475.2,7.48947763442993,2,2,1,"2015-05",38.7477890251904
59150727,475,6074.2,7.46713924407959,4,4,1,"2015-05",31.4968074938705
59150728,450,10440.8,7.23029232025146,3,3,1,"2015-05",17.343222662911
59150729,729,8576.5,6.84254550933838,4,4,1,"2015-05",18.6872972319119
59150730,453,6300.4,3.52502751350403,2,2,1,"2015-05",-27.2094378869373
59150731,646,8346.3,3.81249737739563,2,2,1,"2015-05",-13.9391077848997
59150732,486,6352.9,3.62233185768127,3,3,1,"2015-05",-11.7356219124789
59150733,563,6361.6,4.04190492630005,4,4,1,"2015-05",-2.73946557983476
59150734,758,8124.3,3.62204837799072,4,4,1,"2015-05",1.9633621178565
59150735,621,5231.7,5.17929983139038,4,4,1,"2015-05",11.7292139779362
59150736,702,5358.8,3.84900736808777,4,4,1,"2015-05",-1.78294428857287
59150737,466,8351.3,3.77458906173706,2,2,1,"2015-05",-6.57899333297766
59150738,493,8029.3,3.62237811088562,2,2,1,"2015-05",4.89716720748004
59150739,410,7155.3,3.57830953598022,2,2,1,"2015-05",5.97295283427238
59150740,467,7835.6,4.82850790023804,4,4,1,"2015-05",33.1877877155981
59150741,497,6299.1,5.27456855773926,4,4,1,"2015-05",52.7015919846648
59150742,617,7275.9,7.05367374420166,2,2,1,"2015-05",95.997043739198
59150743,580,6605.9,5.32965660095215,2,2,1,"2015-05",45.5693214455606
59150744,458,10726,3.8199999332428,2,2,1,"2015-05",-2.30302728010634
59150745,593,8270.6,3.81064629554749,4,4,1,"2015-05",-3.66290510394623
59150746,494,7682.7,5.19015741348267,3,3,1,"2015-05",13.0859766435835
59150747,352,4055.3,7.34199714660645,4,4,1,"2015-05",8.34980388392792
59150748,536,13073.2,7.39740705490112,2,2,1,"2015-05",21.366337244034
59150749,517,4507.4,7.05699110031128,4,4,1,"2015-05",15.1031843570988
59150750,838,924.9,8.82744884490967,17,17,1,"2015-05",15.4359105817476
59150751,782,895.7,9.92129039764404,16,16,1,"2015-05",21.8680774924892
59150752,300,7537.7,7.28000497817993,2,2,1,"2015-05",-14.3323809644584
59150753,271,9609.9,11.1754503250122,2,2,1,"2015-05",5.52869128601625
59150754,456,10654.2,7.1125636100769,4,4,1,"2015-05",-16.9461719337691
59150755,779,15096.9,11.2057752609253,4,4,1,"2015-05",1.02773069880672
59150756,203,8388.4,11.3508358001709,2,2,1,"2015-05",3.76265821515709
59150757,1123,14251.3,11.1559162139893,2,2,1,"2015-05",-7.12143382248138
59150758,499,18278.4,10.2537565231323,2,2,1,"2015-05",-14.452788619636
59150759,478,9735.2,10.2561807632446,2,2,1,"2015-05",-17.3106946721747
59150760,577,18493.6,10.2541103363037,2,2,1,"2015-05",-14.8826659687695
59150761,644,18400,16.447998046875,4,4,1,"2015-05",-12.6695242495197
