"name","population","population_density","ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date","pct_change"
59150417,484,6816.9,2.31534957885742,4,4,1,"2012-01",NA
59150419,447,4890.6,2.49525475502014,4,4,1,"2012-01",NA
59150420,556,6457.6,2.55028080940247,4,4,1,"2012-01",NA
59150421,642,6400.8,2.55412673950195,5,5,1,"2012-01",NA
59150422,894,10275.9,2.49999976158142,2,2,1,"2012-01",NA
59150423,468,3518.8,2.68426895141602,4,4,1,"2012-01",NA
59150424,862,5727.6,2.50791716575623,4,4,1,"2012-01",NA
59150425,388,4439.4,2.79359865188599,4,4,1,"2012-01",NA
59150426,634,2536,2.27922487258911,7,7,1,"2012-01",NA
59150427,568,5541.5,2.69172191619873,4,4,1,"2012-01",NA
59150428,589,3918.8,2.71082544326782,4,4,1,"2012-01",NA
59150429,562,5137.1,2.70361685752869,3,3,1,"2012-01",NA
59150430,545,6550.5,2.88263320922852,4,4,1,"2012-01",NA
59150431,600,5763.7,3.070796251297,4,4,1,"2012-01",NA
59150432,878,6626.4,3.12398266792297,6,6,1,"2012-01",NA
59150433,496,7873,3.40979504585266,3,3,1,"2012-01",NA
59150434,477,6943.2,3.65610241889954,3,3,1,"2012-01",NA
59150435,598,8704.5,3.73676896095276,3,3,1,"2012-01",NA
59150436,776,7152.1,3.62290549278259,6,6,1,"2012-01",NA
59150437,1252,12061.7,3.72194409370422,7,7,1,"2012-01",NA
59150438,819,9285.7,3.62999987602234,2,2,1,"2012-01",NA
59150439,507,4941.5,2.81522059440613,6,6,1,"2012-01",NA
59150440,642,5676.4,3.2068874835968,4,4,1,"2012-01",NA
59150441,651,5641.2,2.77971196174622,3,3,1,"2012-01",NA
59150442,641,6116.4,2.21197104454041,6,6,1,"2012-01",NA
59150443,690,5817.9,2.16000008583069,2,2,1,"2012-01",NA
59150444,764,7527.1,2.16000008583069,2,2,1,"2012-01",NA
59150445,627,7108.8,2.562739610672,8,8,1,"2012-01",NA
59150446,507,6057.3,2.58673596382141,2,2,1,"2012-01",NA
59150447,693,8794.4,2.68052577972412,4,4,1,"2012-01",NA
59150448,636,6278.4,2.58999991416931,2,2,1,"2012-01",NA
59150449,617,5215.6,2.52645015716553,6,6,1,"2012-01",NA
59150450,575,4107.1,2.58673071861267,4,4,1,"2012-01",NA
59150451,506,6239.2,2.56943821907043,2,2,1,"2012-01",NA
59150452,424,5083.9,2.41865277290344,5,5,1,"2012-01",NA
59150453,632,6112.2,2.53664374351501,2,2,1,"2012-01",NA
59150454,683,4526.2,3.21860432624817,4,4,1,"2012-01",NA
59150455,822,5425.7,3.35919737815857,4,4,1,"2012-01",NA
59150457,731,5285.6,3.60415935516357,4,4,1,"2012-01",NA
59150459,678,6759.7,4.13923215866089,4,4,1,"2012-01",NA
59150460,516,8113.2,4.7023720741272,3,3,1,"2012-01",NA
59150461,369,8443.9,4.87682676315308,2,2,1,"2012-01",NA
59150462,449,10490.7,4.86999988555908,1,1,1,"2012-01",NA
59150463,555,5787.3,2.94612693786621,4,4,1,"2012-01",NA
59150465,518,7719.8,2.68964171409607,4,4,1,"2012-01",NA
59150466,481,8016.7,2.78475904464722,2,2,1,"2012-01",NA
59150468,564,6706.3,2.87820267677307,2,2,1,"2012-01",NA
59150469,641,7798.1,2.63284778594971,4,4,1,"2012-01",NA
59150470,578,9059.6,2.6781542301178,4,4,1,"2012-01",NA
59150471,634,8544.5,2.69122338294983,3,3,1,"2012-01",NA
59150472,472,8054.6,2.99484491348267,4,4,1,"2012-01",NA
59150473,658,7852,3.67000007629395,2,2,1,"2012-01",NA
59150474,649,7707.8,3.25104141235352,4,4,1,"2012-01",NA
59150475,696,8477.5,3.66999983787537,1,1,1,"2012-01",NA
59150476,896,5848.6,3.44096851348877,5,5,1,"2012-01",NA
59150477,615,7834.4,3.1597375869751,6,6,1,"2012-01",NA
59150478,765,7758.6,3.0419065952301,2,2,1,"2012-01",NA
59150479,472,2862.3,2.97907757759094,4,4,1,"2012-01",NA
59150480,535,8346.3,2.88540649414062,4,4,1,"2012-01",NA
59150481,477,8457.4,2.90685677528381,2,2,1,"2012-01",NA
59150482,846,9505.6,2.93856024742126,4,4,1,"2012-01",NA
59150483,502,8422.8,2.60738253593445,2,2,1,"2012-01",NA
59150484,697,7676.2,2.61554050445557,4,4,1,"2012-01",NA
59150485,538,3907,2.22826647758484,4,4,1,"2012-01",NA
59150486,585,9766.3,2.26796078681946,4,4,1,"2012-01",NA
59150487,437,2629.4,2.82906746864319,5,5,1,"2012-01",NA
59150488,472,6742.9,6.23506021499634,4,4,1,"2012-01",NA
59150489,572,4758.7,3.48000001907349,2,2,1,"2012-01",NA
59150490,524,5586.4,3.48000001907349,2,2,1,"2012-01",NA
59150491,470,15932.2,3.51897144317627,3,3,1,"2012-01",NA
59150492,576,8067.2,3.08021521568298,2,2,1,"2012-01",NA
59150493,464,12817.7,5.40903854370117,4,4,1,"2012-01",NA
59150494,404,15419.8,5.37496089935303,2,2,1,"2012-01",NA
59150495,635,992.3,6.77822828292847,11,11,1,"2012-01",NA
59150496,599,17163.3,4.03670644760132,4,4,1,"2012-01",NA
59150497,624,20064.3,3.98999977111816,2,2,1,"2012-01",NA
59150498,600,15957.4,3.92229413986206,4,4,1,"2012-01",NA
59150499,629,17818.7,3.99000000953674,2,2,1,"2012-01",NA
59150500,722,15833.3,3.99000000953674,2,2,1,"2012-01",NA
59150503,527,12370.9,3.86693787574768,4,4,1,"2012-01",NA
59150504,1013,4640.4,3.69236755371094,5,5,1,"2012-01",NA
59150505,646,6140.7,3.47016263008118,5,5,1,"2012-01",NA
59150506,386,4478,2.64526104927063,2,2,1,"2012-01",NA
59150507,474,3220.1,2.77206683158875,4,4,1,"2012-01",NA
59150508,464,3668,2.59979677200317,4,4,1,"2012-01",NA
59150509,427,2583.2,2.45000004768372,4,4,1,"2012-01",NA
59150510,459,2462.4,2.45000004768372,5,5,1,"2012-01",NA
59150511,346,2709.5,2.64786648750305,6,6,1,"2012-01",NA
59150512,459,2075,2.66793155670166,4,4,1,"2012-01",NA
59150513,471,2783.7,2.77812743186951,4,4,1,"2012-01",NA
59150514,608,3018.9,2.76174712181091,6,6,1,"2012-01",NA
59150515,383,1847.6,2.69775247573853,6,6,1,"2012-01",NA
59150516,471,3062.4,2.87197732925415,4,4,1,"2012-01",NA
59150517,406,2976.5,3.13216114044189,3,3,1,"2012-01",NA
59150518,414,3174.8,3.51375579833984,4,4,1,"2012-01",NA
59150519,403,2583.3,3.4024441242218,6,6,1,"2012-01",NA
59150520,1012,6155.7,3.74834609031677,6,6,1,"2012-01",NA
59150521,608,3855.4,3.66051816940308,4,4,1,"2012-01",NA
59150522,585,4791.2,2.90938496589661,3,3,1,"2012-01",NA
59150523,613,5239.3,2.6636700630188,6,6,1,"2012-01",NA
59150524,502,5796.8,2.77290105819702,3,3,1,"2012-01",NA
59150525,523,6339.4,3.28979420661926,2,2,1,"2012-01",NA
59150526,559,6817.1,2.98847699165344,4,4,1,"2012-01",NA
59150527,561,8806.9,3.09874725341797,4,4,1,"2012-01",NA
59150528,552,7206.3,3.3329176902771,4,4,1,"2012-01",NA
59150529,537,5587.9,3.23470711708069,4,4,1,"2012-01",NA
59150530,581,11785,2.98000001907349,2,2,1,"2012-01",NA
59150531,757,4358.1,2.85353899002075,4,4,1,"2012-01",NA
59150532,595,6356.8,2.80782914161682,3,3,1,"2012-01",NA
59150533,620,6391.8,2.60999989509583,2,2,1,"2012-01",NA
59150534,535,5437,2.60558295249939,6,6,1,"2012-01",NA
59150535,599,6427,2.87797737121582,3,3,1,"2012-01",NA
59150536,516,10320,3.15521860122681,4,4,1,"2012-01",NA
59150537,586,6666.7,3.64999985694885,2,2,1,"2012-01",NA
59150538,186,2336.7,3.59385132789612,3,3,1,"2012-01",NA
