GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",v_CA21_6: Population density per square kilometre,v_CA21_386: Average age,v_CA21_906: Median total income of household in 2020 ($),v_CA21_5853: University certificate or diploma above bachelor level,v_CA21_4410: Immigrants
59153080,DA,59153080,0.0715,539,193,185,539,7538.5,42.5,87000,0,285
59153081,DA,59153081,0.0743,442,154,141,442,5948.9,40.3,101000,0,180
59153082,DA,59153082,0.0861,356,138,127,356,4134.7,44.2,113000,10,185
59153083,DA,59153083,0.1616,337,112,108,337,2085.4,47.4,99000,0,240
59153084,DA,59153084,0.1228,637,222,208,637,5187.3,37.8,87000,0,320
59153085,DA,59153085,0.0561,552,248,208,552,9839.6,39.9,92000,0,315
59153086,DA,59153086,0.0638,660,220,209,660,10344.8,40.1,93000,10,390
59153087,DA,59153087,0.0867,797,265,245,797,9192.6,42.4,87000,30,550
59153088,DA,59153088,0.1168,688,241,216,688,5890.4,40.6,98000,25,400
59153089,DA,59153089,0.085,787,269,260,787,9258.8,39.3,72000,15,380
59153090,DA,59153090,0.0778,785,281,259,785,10090,41.6,92000,40,380
59153091,DA,59153091,0.0632,587,186,174,587,9288,41.3,91000,30,300
59153092,DA,59153092,0.0584,451,165,152,451,7722.6,42.2,93000,0,230
59153093,DA,59153093,0.0961,659,225,209,659,6857.4,41.3,97000,0,320
59153094,DA,59153094,0.0499,487,165,153,487,9759.5,38.3,96000,0,235
59153095,DA,59153095,0.0755,588,186,176,588,7788.1,40.3,90000,35,385
59153096,DA,59153096,0.084,592,193,181,592,7047.6,42.5,97000,15,340
59153097,DA,59153097,0.8876,1252,677,630,1252,1410.5,36.9,60800,30,590
59153098,DA,59153098,0.1714,488,201,190,488,2847.1,40.1,76000,15,345
59153123,DA,59153123,0.0343,587,377,365,587,17113.7,39.3,78500,15,135
59153124,DA,59153124,0.017,306,231,219,306,18000,44.4,75500,0,65
59153132,DA,59153132,0.1202,1360,764,728,1360,11314.5,46.5,113000,70,460
59153133,DA,59153133,0.0688,666,420,400,666,9680.2,44.5,90000,40,225
59153134,DA,59153134,0.0359,604,429,406,604,16824.5,40.5,61200,15,185
59153135,DA,59153135,0.0543,855,657,617,855,15745.9,40.0,55600,25,225
59153136,DA,59153136,0.0539,993,668,635,993,18423,35.6,71000,25,250
59153137,DA,59153137,0.0347,647,480,458,647,18645.5,37.7,67500,20,180
59153138,DA,59153138,0.0556,546,385,361,546,9820.1,39.7,73000,10,145
59153139,DA,59153139,0.036,486,353,339,486,13500,42.1,64500,0,145
59153140,DA,59153140,0.076,810,557,536,810,10657.9,43.5,73000,15,250
59153144,DA,59153144,0.0432,796,407,395,796,18425.9,39.8,109000,45,250
59153151,DA,59153151,0.1093,632,419,398,632,5782.3,42.6,72500,20,145
59153152,DA,59153152,0.133,939,453,430,939,7060.2,51.0,88000,25,395
59153153,DA,59153153,0.0492,905,651,600,905,18394.3,42.0,68500,45,250
59153154,DA,59153154,0.0755,805,443,425,805,10662.3,47.6,74000,25,340
59153155,DA,59153155,0.0791,763,424,400,763,9646,36.8,87000,20,200
59153156,DA,59153156,0.0411,317,155,143,317,7712.9,42.6,140000,0,60
59153157,DA,59153157,0.0666,597,289,269,597,8964,38.8,96000,10,140
59153158,DA,59153158,0.0807,793,512,490,793,9826.5,40.5,81000,0,240
59153159,DA,59153159,0.0738,652,461,436,652,8834.7,40.6,68500,25,135
59153160,DA,59153160,0.0721,739,488,452,739,10249.7,39.5,70000,15,225
59153161,DA,59153161,0.0425,551,319,309,551,12964.7,39.9,84000,10,110
59153162,DA,59153162,0.0296,528,327,308,528,17837.8,38.8,78500,0,100
59153163,DA,59153163,0.0819,396,282,262,396,4835.2,40.4,60400,10,135
59153164,DA,59153164,0.0992,2058,1425,1365,2058,20746,38.3,94000,55,515
59153165,DA,59153165,0.0327,499,314,303,499,15259.9,44.0,58400,10,185
59153166,DA,59153166,0.1105,1072,526,503,1072,9701.4,38.9,99000,15,310
59153167,DA,59153167,0.1695,606,232,211,606,3575.2,37.3,156000,10,185
59153168,DA,59153168,0.0299,1139,543,524,1139,38093.6,43.9,109000,35,490
59153171,DA,59153171,0.0675,744,531,491,744,11022.2,44.8,67500,10,310
59153172,DA,59153172,0.0207,571,408,371,571,27584.5,44.4,80000,0,195
59153181,DA,59153181,0.8193,977,563,521,977,1192.5,42.8,56800,20,235
59153182,DA,59153182,0.0149,429,244,224,429,28791.9,39.0,27400,0,95
59153183,DA,59153183,0.0786,647,295,252,647,8231.6,42.8,37200,0,105
59153184,DA,59153184,0.0771,677,407,383,677,8780.8,52.0,33600,15,260
59153185,DA,59153185,0.0526,458,237,219,458,8707.2,45.9,54000,0,155
59153186,DA,59153186,0.0696,472,244,238,472,6781.6,42.5,102000,15,130
59153187,DA,59153187,0.0563,889,376,365,889,15790.4,36.2,38000,0,370
59153188,DA,59153188,0.1629,225,85,85,225,1381.2,84.0,,0,110
59153189,DA,59153189,0.2238,506,263,233,506,2260.9,40.6,91000,0,135
59153190,DA,59153190,0.201,657,403,375,657,3268.7,39.4,69000,30,180
59153191,DA,59153191,0.0564,505,264,242,505,8953.9,38.0,80000,0,120
59153192,DA,59153192,0.0302,488,358,335,488,16158.9,51.1,35200,10,195
59153193,DA,59153193,0.049,720,402,391,720,14693.9,37.3,68500,10,130
59153194,DA,59153194,0.0199,361,226,217,361,18140.7,39.4,67000,15,105
59153195,DA,59153195,0.0203,371,238,225,371,18275.9,39.4,59200,0,55
59153196,DA,59153196,0.0322,499,257,253,499,15496.9,35.8,55600,20,55
59153197,DA,59153197,0.7198,476,358,315,476,661.3,41.7,36400,0,25
59153198,DA,59153198,0.0704,527,321,304,527,7485.8,39.5,67000,15,170
59153199,DA,59153199,0.0286,453,289,280,453,15839.2,41.5,61600,0,110
59153200,DA,59153200,0.129,669,340,309,669,5186,36.9,100000,20,220
59153201,DA,59153201,0.0618,556,362,331,556,8996.8,39.0,58400,0,130
59153202,DA,59153202,0.0278,460,298,277,460,16546.8,39.7,66500,0,100
59153203,DA,59153203,0.0285,554,340,317,554,19438.6,41.8,62400,10,195
59153204,DA,59153204,0.0303,404,253,242,404,13333.3,42.7,50000,10,105
59153205,DA,59153205,0.0268,388,249,233,388,14477.6,41.0,59600,0,80
59153206,DA,59153206,0.0339,569,382,372,569,16784.7,42.7,60800,20,100
59153207,DA,59153207,0.0403,486,320,311,486,12059.6,46.0,65500,10,100
59153208,DA,59153208,0.2498,611,377,363,611,2446,43.2,60400,20,115
59153209,DA,59153209,0.0721,470,271,258,470,6518.7,43.7,81000,10,155
59153210,DA,59153210,0.0983,515,211,199,515,5239.1,41.4,105000,35,145
59153211,DA,59153211,0.086,462,190,177,462,5372.1,43.0,104000,0,215
59153212,DA,59153212,0.0834,425,172,160,425,5095.9,43.8,98000,0,180
59153213,DA,59153213,0.1266,596,276,252,596,4707.7,43.6,91000,20,205
59153214,DA,59153214,0.2083,658,281,256,658,3158.9,42.3,107000,10,185
59153215,DA,59153215,1.4464,990,458,434,990,684.5,40.7,93000,20,420
59153216,DA,59153216,0.1381,789,367,339,789,5713.3,42.6,81000,15,320
59153217,DA,59153217,0.1155,545,230,214,545,4718.6,43.1,96000,15,165
59153218,DA,59153218,0.1055,478,210,200,478,4530.8,44.5,85000,0,220
59153219,DA,59153219,0.0459,513,254,240,513,11176.5,38.5,70000,0,200
59153220,DA,59153220,0.0723,409,171,168,409,5657,41.2,85000,0,100
59153221,DA,59153221,0.0779,607,260,248,607,7792,42.3,77500,10,245
59153222,DA,59153222,0.1298,679,274,261,679,5231.1,42.7,91000,0,265
59153223,DA,59153223,0.1278,483,234,223,483,3779.3,40.5,99000,10,100
59153224,DA,59153224,0.1382,791,322,311,791,5723.6,42.5,87000,15,310
59153225,DA,59153225,0.1155,584,214,204,584,5056.3,42.8,108000,10,230
59153226,DA,59153226,0.1056,634,250,238,634,6003.8,43.4,96000,10,265
59153227,DA,59153227,0.1044,697,296,272,697,6676.2,43.2,88000,0,275
59153228,DA,59153228,0.0883,508,252,196,508,5753.1,45.1,88000,0,200
59153229,DA,59153229,0.0796,574,217,202,574,7211.1,41.5,84000,0,335
59153230,DA,59153230,0.178,748,297,275,748,4202.2,39.8,90000,20,300
59153231,DA,59153231,0.0564,477,253,239,477,8457.4,39.7,98000,10,120
59153232,DA,59153232,0.1856,561,280,266,561,3022.6,37.3,86000,25,105
59153246,DA,59153246,0.0174,1082,695,631,1082,62183.9,36.3,80000,40,425
59153249,DA,59153249,0.3108,722,269,252,722,2323,40.9,125000,25,290
59153250,DA,59153250,0.7024,493,218,201,493,701.9,41.1,95000,10,240
59153251,DA,59153251,0.1629,877,466,396,877,5383.7,44.5,95000,35,360
59153252,DA,59153252,0.1214,688,278,259,688,5667.2,40.0,119000,45,225
59153253,DA,59153253,0.3563,437,187,169,437,1226.5,45.2,166000,30,170
59153254,DA,59153254,0.2499,387,173,157,387,1548.6,44.1,96000,10,145
59153255,DA,59153255,0.2003,637,264,236,637,3180.2,42.2,108000,35,295
59153256,DA,59153256,0.0885,548,297,263,548,6192.1,42.7,110000,0,115
59153257,DA,59153257,0.0897,619,331,308,619,6900.8,41.9,101000,30,190
59153258,DA,59153258,0.0898,606,338,308,606,6748.3,40.5,89000,25,195
59153259,DA,59153259,0.0341,532,321,313,532,15601.2,38.9,69500,15,140
59153261,DA,59153261,0.7204,664,368,345,664,921.7,53.6,70500,20,365
59153262,DA,59153262,0.0653,869,454,438,869,13307.8,47.4,75500,30,445
59153263,DA,59153263,0.2,652,193,163,652,3260,53.6,42000,0,145
59153264,DA,59153264,0.0861,405,152,140,405,4703.8,45.5,85000,10,260
59153265,DA,59153265,0.106,597,209,199,597,5632.1,43.4,108000,10,390
59153266,DA,59153266,0.2365,836,306,300,836,3534.9,41.2,70000,10,470
59153267,DA,59153267,0.1731,697,244,237,697,4026.6,44.6,93000,15,400
59153268,DA,59153268,0.0994,571,210,196,571,5744.5,39.7,97000,35,360
59153269,DA,59153269,0.1231,418,143,137,418,3395.6,43.2,124000,0,225
59153270,DA,59153270,0.0884,510,177,174,510,5769.2,43.5,93000,15,250
59153271,DA,59153271,0.1378,570,220,208,570,4136.4,40.2,90000,15,290
59153272,DA,59153272,0.0921,539,219,201,539,5852.3,43.2,92000,10,270
59153273,DA,59153273,0.1127,671,256,236,671,5953.9,41.8,94000,10,425
59153274,DA,59153274,0.1129,675,274,267,675,5978.7,41.6,80000,20,380
59153275,DA,59153275,0.0389,642,406,388,642,16503.9,43.0,52400,15,300
59153276,DA,59153276,0.1006,588,226,217,588,5844.9,44.2,77000,0,315
59153277,DA,59153277,0.0505,456,221,208,456,9029.7,43.2,67500,20,225
59153278,DA,59153278,0.0508,400,184,175,400,7874,42.9,64500,10,195
59153279,DA,59153279,0.0992,500,180,171,500,5040.3,43.7,93000,0,275
59153280,DA,59153280,0.0885,630,242,224,630,7118.6,40.9,95000,0,230
59153281,DA,59153281,0.0776,671,257,232,671,8646.9,40.7,89000,15,450
59153282,DA,59153282,0.1431,608,256,233,608,4248.8,44.0,69000,0,370
59153283,DA,59153283,0.1012,593,223,206,593,5859.7,43.3,82000,10,425
59153284,DA,59153284,0.0766,507,187,177,507,6618.8,45.8,79000,0,340
59153285,DA,59153285,0.0751,526,194,183,526,7004,44.2,91000,0,330
59153286,DA,59153286,0.0615,395,131,123,395,6422.8,41.9,91000,0,280
59153287,DA,59153287,0.108,702,262,241,702,6500,46.6,85000,10,530
59153288,DA,59153288,0.0911,724,283,268,724,7947.3,44.8,71000,0,455
59153289,DA,59153289,0.0828,570,220,202,570,6884.1,47.0,83000,15,405
59153290,DA,59153290,0.0891,667,256,232,667,7486,46.5,79000,25,445
59153291,DA,59153291,0.0978,662,238,225,662,6768.9,42.3,72000,10,325
59153292,DA,59153292,0.1007,675,309,283,675,6703.1,40.6,49600,0,410
59153293,DA,59153293,0.081,491,190,173,491,6061.7,43.2,85000,15,280
59153295,DA,59153295,0.1908,738,224,210,738,3867.9,57.7,86000,0,285
59153296,DA,59153296,0.0822,686,253,238,686,8345.5,43.4,81000,10,375
59153297,DA,59153297,0.0907,1017,402,384,1017,11212.8,43.6,79500,15,630
59153298,DA,59153298,0.0856,612,236,215,612,7149.5,42.2,84000,0,355
59153299,DA,59153299,0.0695,565,201,193,565,8129.5,43.4,85000,20,340
59153300,DA,59153300,0.073,486,202,183,486,6657.5,45.1,70500,0,245
59153301,DA,59153301,0.0582,437,167,159,437,7508.6,44.4,88000,0,235
