"geo_local_area","year","month","crime_count","date","prev_crime_count","pct_change"
"Arbutus Ridge",2017,1,16,1月 2017,21,-23.8095238095238
"Arbutus Ridge",2017,3,27,3月 2017,16,68.75
"Arbutus Ridge",2017,5,18,5月 2017,27,-33.3333333333333
"Arbutus Ridge",2017,7,32,7月 2017,18,77.7777777777778
"Arbutus Ridge",2017,9,14,9月 2017,32,-56.25
"Arbutus Ridge",2017,11,19,11月 2017,14,35.7142857142857
"Arbutus Ridge",2018,1,13,1月 2018,19,-31.5789473684211
"Arbutus Ridge",2018,3,20,3月 2018,13,53.8461538461538
"Arbutus Ridge",2018,5,22,5月 2018,20,10
"Arbutus Ridge",2018,7,13,7月 2018,22,-40.9090909090909
"Arbutus Ridge",2018,9,21,9月 2018,13,61.5384615384615
"Arbutus Ridge",2018,11,24,11月 2018,21,14.2857142857143
"Arbutus Ridge",2019,1,16,1月 2019,24,-33.3333333333333
"Arbutus Ridge",2019,3,11,3月 2019,16,-31.25
"Arbutus Ridge",2019,5,11,5月 2019,11,0
"Arbutus Ridge",2019,7,19,7月 2019,11,72.7272727272727
"Arbutus Ridge",2019,9,15,9月 2019,19,-21.0526315789474
"Arbutus Ridge",2019,11,22,11月 2019,15,46.6666666666667
"Arbutus Ridge",2020,1,21,1月 2020,22,-4.54545454545455
"Arbutus Ridge",2020,3,23,3月 2020,21,9.52380952380952
"Arbutus Ridge",2020,5,16,5月 2020,23,-30.4347826086957
"Arbutus Ridge",2020,7,18,7月 2020,16,12.5
"Arbutus Ridge",2020,9,20,9月 2020,18,11.1111111111111
"Arbutus Ridge",2020,11,13,11月 2020,20,-35
"Arbutus Ridge",2021,1,23,1月 2021,13,76.9230769230769
"Arbutus Ridge",2021,3,13,3月 2021,23,-43.4782608695652
"Arbutus Ridge",2021,5,12,5月 2021,13,-7.69230769230769
"Arbutus Ridge",2021,7,9,7月 2021,12,-25
"Arbutus Ridge",2021,9,14,9月 2021,9,55.5555555555556
"Arbutus Ridge",2021,11,9,11月 2021,14,-35.7142857142857
"Arbutus Ridge",2022,1,13,1月 2022,9,44.4444444444444
"Arbutus Ridge",2022,3,19,3月 2022,13,46.1538461538462
"Arbutus Ridge",2022,5,15,5月 2022,19,-21.0526315789474
"Arbutus Ridge",2022,7,14,7月 2022,15,-6.66666666666667
"Arbutus Ridge",2022,9,19,9月 2022,14,35.7142857142857
"Arbutus Ridge",2022,11,14,11月 2022,19,-26.3157894736842
"Arbutus Ridge",2023,1,14,1月 2023,14,0
"Arbutus Ridge",2023,3,24,3月 2023,14,71.4285714285714
"Arbutus Ridge",2023,5,9,5月 2023,24,-62.5
"Arbutus Ridge",2023,7,7,7月 2023,9,-22.2222222222222
"Arbutus Ridge",2023,9,8,9月 2023,7,14.2857142857143
"Arbutus Ridge",2023,11,11,11月 2023,8,37.5
"Arbutus Ridge",2024,1,18,1月 2024,11,63.6363636363636
"Arbutus Ridge",2024,3,10,3月 2024,18,-44.4444444444444
"Arbutus Ridge",2024,5,13,5月 2024,10,30
"Arbutus Ridge",2024,7,8,7月 2024,13,-38.4615384615385
"Arbutus Ridge",2024,9,11,9月 2024,8,37.5
"Arbutus Ridge",2024,11,11,11月 2024,11,0
"Arbutus Ridge",2025,1,11,1月 2025,11,0
"Arbutus Ridge",2025,3,4,3月 2025,11,-63.6363636363636
"Downtown",2003,1,740,1月 2003,NA,NA
"Downtown",2003,3,561,3月 2003,740,-24.1891891891892
"Downtown",2003,5,641,5月 2003,561,14.2602495543672
"Downtown",2003,7,571,7月 2003,641,-10.9204368174727
"Downtown",2003,9,509,9月 2003,571,-10.8581436077058
"Downtown",2003,11,627,11月 2003,509,23.1827111984283
"Downtown",2004,1,563,1月 2004,627,-10.207336523126
"Downtown",2004,3,563,3月 2004,563,0
"Downtown",2004,5,476,5月 2004,563,-15.4529307282416
"Downtown",2004,7,532,7月 2004,476,11.7647058823529
"Downtown",2004,9,554,9月 2004,532,4.13533834586466
"Downtown",2004,11,501,11月 2004,554,-9.56678700361011
"Downtown",2005,1,483,1月 2005,501,-3.59281437125748
"Downtown",2005,3,555,3月 2005,483,14.9068322981366
"Downtown",2005,5,454,5月 2005,555,-18.1981981981982
"Downtown",2005,7,442,7月 2005,454,-2.6431718061674
"Downtown",2005,9,509,9月 2005,442,15.158371040724
"Downtown",2005,11,495,11月 2005,509,-2.75049115913556
"Downtown",2006,1,526,1月 2006,495,6.26262626262626
"Downtown",2006,3,581,3月 2006,526,10.4562737642586
"Downtown",2006,5,470,5月 2006,581,-19.104991394148
"Downtown",2006,7,543,7月 2006,470,15.531914893617
"Downtown",2006,9,452,9月 2006,543,-16.7587476979742
"Downtown",2006,11,545,11月 2006,452,20.5752212389381
"Downtown",2007,1,587,1月 2007,545,7.70642201834862
"Downtown",2007,3,524,3月 2007,587,-10.732538330494
"Downtown",2007,5,452,5月 2007,524,-13.7404580152672
"Downtown",2007,7,386,7月 2007,452,-14.6017699115044
"Downtown",2007,9,518,9月 2007,386,34.1968911917098
"Downtown",2007,11,524,11月 2007,518,1.15830115830116
"Downtown",2008,1,509,1月 2008,524,-2.86259541984733
"Downtown",2008,3,530,3月 2008,509,4.12573673870334
"Downtown",2008,5,469,5月 2008,530,-11.5094339622642
"Downtown",2008,7,432,7月 2008,469,-7.88912579957356
"Downtown",2008,9,496,9月 2008,432,14.8148148148148
"Downtown",2008,11,470,11月 2008,496,-5.24193548387097
"Downtown",2009,1,460,1月 2009,470,-2.12765957446809
"Downtown",2009,3,452,3月 2009,460,-1.73913043478261
"Downtown",2009,5,376,5月 2009,452,-16.8141592920354
"Downtown",2009,7,379,7月 2009,376,0.797872340425532
"Downtown",2009,9,484,9月 2009,379,27.7044854881267
"Downtown",2009,11,382,11月 2009,484,-21.0743801652893
"Downtown",2010,1,379,1月 2010,382,-0.785340314136126
"Downtown",2010,3,429,3月 2010,379,13.1926121372032
"Downtown",2010,5,358,5月 2010,429,-16.5501165501165
"Downtown",2010,7,381,7月 2010,358,6.42458100558659
"Downtown",2010,9,368,9月 2010,381,-3.41207349081365
"Downtown",2010,11,308,11月 2010,368,-16.304347826087
"Downtown",2011,1,394,1月 2011,308,27.9220779220779
"Downtown",2011,3,361,3月 2011,394,-8.3756345177665
"Downtown",2011,5,306,5月 2011,361,-15.2354570637119
"Downtown",2011,7,317,7月 2011,306,3.59477124183007
"Downtown",2011,9,320,9月 2011,317,0.946372239747634
"Downtown",2011,11,385,11月 2011,320,20.3125
"Downtown",2012,1,452,1月 2012,385,17.4025974025974
"Downtown",2012,3,367,3月 2012,452,-18.8053097345133
"Downtown",2012,5,340,5月 2012,367,-7.35694822888283
"Downtown",2012,7,275,7月 2012,340,-19.1176470588235
"Downtown",2012,9,314,9月 2012,275,14.1818181818182
"Downtown",2012,11,412,11月 2012,314,31.2101910828025
"Downtown",2013,1,353,1月 2013,412,-14.3203883495146
"Downtown",2013,3,458,3月 2013,353,29.7450424929178
"Downtown",2013,5,350,5月 2013,458,-23.5807860262009
"Downtown",2013,7,411,7月 2013,350,17.4285714285714
"Downtown",2013,9,411,9月 2013,411,0
"Downtown",2013,11,503,11月 2013,411,22.3844282238443
"Downtown",2014,1,417,1月 2014,503,-17.0974155069582
"Downtown",2014,3,487,3月 2014,417,16.7865707434053
"Downtown",2014,5,426,5月 2014,487,-12.5256673511294
"Downtown",2014,7,460,7月 2014,426,7.981220657277
"Downtown",2014,9,458,9月 2014,460,-0.434782608695652
"Downtown",2014,11,561,11月 2014,458,22.4890829694323
"Downtown",2015,1,483,1月 2015,561,-13.903743315508
"Downtown",2015,3,417,3月 2015,483,-13.6645962732919
"Downtown",2015,5,438,5月 2015,417,5.03597122302158
"Downtown",2015,7,469,7月 2015,438,7.07762557077626
"Downtown",2015,9,490,9月 2015,469,4.47761194029851
"Downtown",2015,11,612,11月 2015,490,24.8979591836735
"Downtown",2016,1,690,1月 2016,612,12.7450980392157
"Downtown",2016,3,595,3月 2016,690,-13.768115942029
"Downtown",2016,5,557,5月 2016,595,-6.38655462184874
"Downtown",2016,7,547,7月 2016,557,-1.79533213644524
"Downtown",2016,9,514,9月 2016,547,-6.03290676416819
"Downtown",2016,11,581,11月 2016,514,13.0350194552529
"Downtown",2017,1,555,1月 2017,581,-4.4750430292599
"Downtown",2017,3,542,3月 2017,555,-2.34234234234234
"Downtown",2017,5,525,5月 2017,542,-3.13653136531365
"Downtown",2017,7,532,7月 2017,525,1.33333333333333
"Downtown",2017,9,619,9月 2017,532,16.3533834586466
"Downtown",2017,11,676,11月 2017,619,9.20840064620355
"Downtown",2018,1,729,1月 2018,676,7.84023668639053
"Downtown",2018,3,569,3月 2018,729,-21.9478737997257
"Downtown",2018,5,527,5月 2018,569,-7.38137082601054
"Downtown",2018,7,553,7月 2018,527,4.93358633776091
"Downtown",2018,9,677,9月 2018,553,22.4231464737794
"Downtown",2018,11,725,11月 2018,677,7.09010339734121
"Downtown",2019,1,759,1月 2019,725,4.68965517241379
"Downtown",2019,3,677,3月 2019,759,-10.8036890645586
"Downtown",2019,5,662,5月 2019,677,-2.21565731166913
"Downtown",2019,7,699,7月 2019,662,5.58912386706949
"Downtown",2019,9,674,9月 2019,699,-3.57653791130186
"Downtown",2019,11,802,11月 2019,674,18.9910979228487
"Downtown",2020,1,770,1月 2020,802,-3.99002493765586
"Downtown",2020,3,560,3月 2020,770,-27.2727272727273
"Downtown",2020,5,233,5月 2020,560,-58.3928571428571
"Downtown",2020,7,305,7月 2020,233,30.9012875536481
"Downtown",2020,9,369,9月 2020,305,20.983606557377
"Downtown",2020,11,359,11月 2020,369,-2.710027100271
"Downtown",2021,1,467,1月 2021,359,30.08356545961
"Downtown",2021,3,293,3月 2021,467,-37.2591006423983
"Downtown",2021,5,283,5月 2021,293,-3.41296928327645
"Downtown",2021,7,357,7月 2021,283,26.1484098939929
"Downtown",2021,9,421,9月 2021,357,17.9271708683473
"Downtown",2021,11,517,11月 2021,421,22.8028503562945
"Downtown",2022,1,449,1月 2022,517,-13.1528046421663
"Downtown",2022,3,495,3月 2022,449,10.2449888641425
"Downtown",2022,5,424,5月 2022,495,-14.3434343434343
"Downtown",2022,7,436,7月 2022,424,2.83018867924528
"Downtown",2022,9,473,9月 2022,436,8.48623853211009
"Downtown",2022,11,391,11月 2022,473,-17.3361522198731
"Downtown",2023,1,473,1月 2023,391,20.9718670076726
"Downtown",2023,3,600,3月 2023,473,26.8498942917548
"Downtown",2023,5,470,5月 2023,600,-21.6666666666667
"Downtown",2023,7,517,7月 2023,470,10
"Downtown",2023,9,529,9月 2023,517,2.321083172147
"Downtown",2023,11,490,11月 2023,529,-7.37240075614367
"Downtown",2024,1,437,1月 2024,490,-10.8163265306122
"Downtown",2024,3,431,3月 2024,437,-1.37299771167048
"Downtown",2024,5,475,5月 2024,431,10.2088167053364
"Downtown",2024,7,471,7月 2024,475,-0.842105263157895
"Downtown",2024,9,492,9月 2024,471,4.45859872611465
"Downtown",2024,11,526,11月 2024,492,6.91056910569106
"Downtown",2025,1,445,1月 2025,526,-15.3992395437262
"Downtown",2025,3,156,3月 2025,445,-64.9438202247191
"Dunbar-Southlands",2003,1,67,1月 2003,NA,NA
"Dunbar-Southlands",2003,3,71,3月 2003,67,5.97014925373134
"Dunbar-Southlands",2003,5,55,5月 2003,71,-22.5352112676056
"Dunbar-Southlands",2003,7,46,7月 2003,55,-16.3636363636364
"Dunbar-Southlands",2003,9,59,9月 2003,46,28.2608695652174
"Dunbar-Southlands",2003,11,44,11月 2003,59,-25.4237288135593
"Dunbar-Southlands",2004,1,51,1月 2004,44,15.9090909090909
"Dunbar-Southlands",2004,3,59,3月 2004,51,15.6862745098039
"Dunbar-Southlands",2004,5,92,5月 2004,59,55.9322033898305
"Dunbar-Southlands",2004,7,48,7月 2004,92,-47.8260869565217
"Dunbar-Southlands",2004,9,122,9月 2004,48,154.166666666667
"Dunbar-Southlands",2004,11,164,11月 2004,122,34.4262295081967
"Dunbar-Southlands",2005,1,63,1月 2005,164,-61.5853658536585
"Dunbar-Southlands",2005,3,90,3月 2005,63,42.8571428571429
"Dunbar-Southlands",2005,5,59,5月 2005,90,-34.4444444444444
"Dunbar-Southlands",2005,7,44,7月 2005,59,-25.4237288135593
"Dunbar-Southlands",2005,9,46,9月 2005,44,4.54545454545455
"Dunbar-Southlands",2005,11,48,11月 2005,46,4.34782608695652
"Dunbar-Southlands",2006,1,70,1月 2006,48,45.8333333333333
"Dunbar-Southlands",2006,3,82,3月 2006,70,17.1428571428571
"Dunbar-Southlands",2006,5,32,5月 2006,82,-60.9756097560976
"Dunbar-Southlands",2006,7,26,7月 2006,32,-18.75
"Dunbar-Southlands",2006,9,51,9月 2006,26,96.1538461538462
"Dunbar-Southlands",2006,11,39,11月 2006,51,-23.5294117647059
"Dunbar-Southlands",2007,1,43,1月 2007,39,10.2564102564103
"Dunbar-Southlands",2007,3,21,3月 2007,43,-51.1627906976744
"Dunbar-Southlands",2007,5,20,5月 2007,21,-4.76190476190476
"Dunbar-Southlands",2007,7,15,7月 2007,20,-25
"Dunbar-Southlands",2007,9,39,9月 2007,15,160
"Dunbar-Southlands",2007,11,27,11月 2007,39,-30.7692307692308
"Dunbar-Southlands",2008,1,25,1月 2008,27,-7.40740740740741
"Dunbar-Southlands",2008,3,28,3月 2008,25,12
"Dunbar-Southlands",2008,5,19,5月 2008,28,-32.1428571428571
"Dunbar-Southlands",2008,7,28,7月 2008,19,47.3684210526316
"Dunbar-Southlands",2008,9,14,9月 2008,28,-50
"Dunbar-Southlands",2008,11,22,11月 2008,14,57.1428571428571
"Dunbar-Southlands",2009,1,18,1月 2009,22,-18.1818181818182
"Dunbar-Southlands",2009,3,11,3月 2009,18,-38.8888888888889
"Dunbar-Southlands",2009,5,28,5月 2009,11,154.545454545455
"Dunbar-Southlands",2009,7,33,7月 2009,28,17.8571428571429
"Dunbar-Southlands",2009,9,32,9月 2009,33,-3.03030303030303
"Dunbar-Southlands",2009,11,23,11月 2009,32,-28.125
"Dunbar-Southlands",2010,1,29,1月 2010,23,26.0869565217391
"Dunbar-Southlands",2010,3,20,3月 2010,29,-31.0344827586207
"Dunbar-Southlands",2010,5,23,5月 2010,20,15
"Dunbar-Southlands",2010,7,31,7月 2010,23,34.7826086956522
"Dunbar-Southlands",2010,9,25,9月 2010,31,-19.3548387096774
"Dunbar-Southlands",2010,11,30,11月 2010,25,20
"Dunbar-Southlands",2011,1,39,1月 2011,30,30
"Dunbar-Southlands",2011,3,24,3月 2011,39,-38.4615384615385
"Dunbar-Southlands",2011,5,24,5月 2011,24,0
"Dunbar-Southlands",2011,7,25,7月 2011,24,4.16666666666667
"Dunbar-Southlands",2011,9,31,9月 2011,25,24
"Dunbar-Southlands",2011,11,45,11月 2011,31,45.1612903225806
"Dunbar-Southlands",2012,1,25,1月 2012,45,-44.4444444444444
"Dunbar-Southlands",2012,3,69,3月 2012,25,176
"Dunbar-Southlands",2012,5,34,5月 2012,69,-50.7246376811594
"Dunbar-Southlands",2012,7,27,7月 2012,34,-20.5882352941176
"Dunbar-Southlands",2012,9,32,9月 2012,27,18.5185185185185
"Dunbar-Southlands",2012,11,37,11月 2012,32,15.625
"Dunbar-Southlands",2013,1,32,1月 2013,37,-13.5135135135135
"Dunbar-Southlands",2013,3,24,3月 2013,32,-25
"Dunbar-Southlands",2013,5,25,5月 2013,24,4.16666666666667
"Dunbar-Southlands",2013,7,37,7月 2013,25,48
"Dunbar-Southlands",2013,9,21,9月 2013,37,-43.2432432432432
"Dunbar-Southlands",2013,11,43,11月 2013,21,104.761904761905
"Dunbar-Southlands",2014,1,25,1月 2014,43,-41.8604651162791
"Dunbar-Southlands",2014,3,24,3月 2014,25,-4
"Dunbar-Southlands",2014,5,27,5月 2014,24,12.5
"Dunbar-Southlands",2014,7,42,7月 2014,27,55.5555555555556
"Dunbar-Southlands",2014,9,21,9月 2014,42,-50
"Dunbar-Southlands",2014,11,26,11月 2014,21,23.8095238095238
"Dunbar-Southlands",2015,1,41,1月 2015,26,57.6923076923077
"Dunbar-Southlands",2015,3,19,3月 2015,41,-53.6585365853659
